luck	행운
success	성공
coin	동전
goods	상품
address	주소
circle	원
mix	섞다
library	도서관
museum	박물관
ocean	바다
sentence	문장
proverb	속담
invention	발명
trash	쓰레기
moment	순간
product	제품
ring	반지
date	날짜
peace	평화
storm	폭풍우
disease	병
ghost	유령
bone	뼈
wisdom	지혜
candle	초
zoo	동물원
scene	장면
memory	기억
recipy	조리법
wheel	바퀴
kid	아이
smoke	연기
cute	귀여운
already	이미
hometown	고향
yard	마당
bridge	다리
fairy	요정
flag	깃발
pain	고통
guide	안내자
promise	약속
bake	굽다
background	배경
distance	거리
behavier	행동
danger	위험
object	물건
tear	눈물
honor	명예
expensive	비싼
ability	능력
action	행동
pride	자랑
slave	노예
rope	밧줄
tip	조언
sunrise	일출
garbage	쓰레기
cash	현금
police	경찰
dictionary	사전
adult	어른
brick	벽돌
temple	사원
wing	날개
purpose	목적
god	신
guest	손님
diver	잠수부
cell	세포
crowd	군중
dig	파다
wood	나무
cave	동굴
tomb	무덤
tool	도구
satelite	위성
wealth	재산
attention	주의
fold	접다
lawyer	변호사
blood	피곤한
gun	총
spirit	정신
route	길
pole	막대기
rubber	고무
root	뿌리
structure	구조
vote	투표
patient	환자
quick	빠른
captain	선장
bucket	양동이
cage	새장
kite	연
miracle	기적
